,Year,Month,Country,Product_ID,Expense_Price
0,2016,4,Argentina,1,8214.875
1,2016,4,Argentina,2,3087.389
2,2016,5,Argentina,1,10777.878
3,2016,5,Argentina,2,3424.0240000000003
4,2016,6,Argentina,1,10320.673
5,2016,6,Argentina,2,3544.3790000000004
6,2016,7,Argentina,1,7377.5869999999995
7,2016,7,Argentina,2,3303.667
8,2016,8,Argentina,1,9805.705
9,2016,8,Argentina,2,3828.908
10,2016,9,Argentina,1,9375.481
11,2016,9,Argentina,2,3415.8759999999997
12,2016,10,Argentina,1,7284.9
13,2016,10,Argentina,2,3367.1859999999997
14,2016,11,Argentina,1,10381.438
15,2016,11,Argentina,2,3567.157
16,2016,12,Argentina,1,6865.382
17,2016,12,Argentina,2,3616.0409999999997
18,2017,1,Argentina,1,10704.393999999998
19,2017,1,Argentina,2,3652.5290000000005
20,2017,2,Argentina,1,7253.269
21,2017,2,Argentina,2,3250.009
22,2017,3,Argentina,1,8427.013
23,2017,3,Argentina,3,5555.0
24,2017,3,Argentina,2,2951.466
25,2017,2,Argentina,3,6555.0
26,2017,1,Argentina,3,6000.0
27,2016,4,Belgium,2,765.2710000000001
28,2016,5,Belgium,2,622.565
29,2016,6,Belgium,2,722.112
30,2016,7,Belgium,2,676.623
31,2016,8,Belgium,2,663.928
32,2016,9,Belgium,2,760.998
33,2016,10,Belgium,2,853.8430000000001
34,2016,11,Belgium,2,771.52
35,2016,12,Belgium,2,829.174
36,2017,1,Belgium,2,726.143
37,2017,2,Belgium,2,617.332
38,2017,3,Belgium,2,497.23199999999997
39,2016,4,Columbia,1,1723.635
40,2016,4,Columbia,2,3262.763
41,2016,5,Columbia,1,1589.6989999999998
42,2016,5,Columbia,2,3484.177
43,2016,6,Columbia,1,1792.339
44,2016,6,Columbia,2,3525.917
45,2016,7,Columbia,1,1559.57
46,2016,7,Columbia,2,3856.195
47,2016,8,Columbia,1,1360.078
48,2016,8,Columbia,2,3170.702
49,2016,9,Columbia,1,1608.219
50,2016,9,Columbia,2,3591.035
51,2016,10,Columbia,1,1525.5539999999999
52,2016,10,Columbia,2,3526.675
53,2016,11,Columbia,1,1691.494
54,2016,11,Columbia,2,3728.492
55,2016,12,Columbia,1,1660.75
56,2016,12,Columbia,2,3454.903
57,2017,1,Columbia,1,1472.171
58,2017,1,Columbia,2,3738.0
59,2017,2,Columbia,1,1544.0510000000002
60,2017,2,Columbia,2,3303.1679999999997
61,2017,3,Columbia,1,1843.579
62,2017,3,Columbia,3,2022.0
63,2017,2,Columbia,3,2000.0
64,2017,1,Columbia,3,2100.0
65,2017,3,Columbia,2,3923.139
66,2016,4,Denmark,2,66175.26400000001
67,2016,5,Denmark,2,84161.79400000001
68,2016,6,Denmark,2,73109.054
69,2016,7,Denmark,2,65278.447
70,2016,8,Denmark,2,75939.881
71,2016,9,Denmark,2,73905.232
72,2016,10,Denmark,2,78101.98599999999
73,2016,11,Denmark,2,71397.27900000001
74,2016,12,Denmark,2,70794.598
75,2017,1,Denmark,2,61985.791
76,2017,2,Denmark,2,57087.558
77,2017,3,Denmark,2,67228.892
78,2015,11,England,4,171.166
79,2015,11,England,5,416.969
80,2015,12,England,4,194.468
81,2015,12,England,5,464.351
82,2016,1,England,4,162.639
83,2016,1,England,5,349.70300000000003
84,2016,2,England,4,163.553
85,2016,2,England,5,333.14099999999996
86,2016,3,England,4,174.685
87,2016,3,England,5,427.81699999999995
88,2016,4,England,4,172.18099999999998
89,2016,4,England,5,399.159
90,2016,5,England,4,175.22400000000002
91,2016,5,England,5,400.744
92,2016,6,England,4,181.40200000000002
93,2016,6,England,5,426.19800000000004
94,2016,7,England,4,157.756
95,2016,7,England,5,378.903
96,2015,11,Finland,4,1306.731
97,2015,12,Finland,4,1499.4470000000001
98,2016,1,Finland,4,1181.306
99,2016,2,Finland,4,940.191
100,2016,3,Finland,4,1439.734
101,2016,4,Finland,4,1378.859
102,2016,5,Finland,4,970.194
103,2016,6,Finland,4,1289.024
104,2016,7,Finland,4,900.0830000000001
