S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,10893091.75657506
79074,2016,5,1,Argentina,36904877.10000007
79075,2016,6,1,Argentina,15056927.471600084
79076,2016,7,1,Argentina,7903800.760530604
79077,2016,8,1,Argentina,14570835.424600128
79078,2016,9,1,Argentina,13125623.875000294
79079,2016,10,1,Argentina,7231693.113838869
79080,2016,11,1,Argentina,15536452.750000311
79081,2016,12,1,Argentina,7507463.376699992
79082,2017,1,1,Argentina,14870919.815500293
79083,2017,2,1,Argentina,8081515.506394504
79084,2017,3,1,Argentina,11057962.046775026
79085,2016,4,2,Argentina,7318398.779999919
79086,2016,5,2,Argentina,7507463.376699992
79087,2016,6,2,Argentina,7507463.376699992
79088,2016,7,2,Argentina,7507463.376699992
79089,2016,8,2,Argentina,7507463.376699992
79090,2016,9,2,Argentina,7507463.376699992
79091,2016,10,2,Argentina,7507463.376699992
79092,2016,11,2,Argentina,7507463.376699992
79093,2016,12,2,Argentina,7507463.376699992
79094,2017,1,2,Argentina,7535399.199999918
79095,2017,2,2,Argentina,7508486.378679989
79096,2017,3,2,Argentina,7318398.779999919
79097,2017,1,3,Argentina,7535399.199999918
79098,2017,2,3,Argentina,7535399.199999918
79099,2017,3,3,Argentina,7507463.376699992
79100,2016,4,2,Belgium,1124819.998539995
79101,2016,5,2,Belgium,1124819.998539995
79102,2016,6,2,Belgium,1124819.998539995
79103,2016,7,2,Belgium,1263521.5949999983
79104,2016,8,2,Belgium,1263521.5949999983
79105,2016,9,2,Belgium,1263521.5949999983
79106,2016,10,2,Belgium,1600609.5262300107
79107,2016,11,2,Belgium,1159520.6500000234
79108,2016,12,2,Belgium,1600609.5262300107
79109,2017,1,2,Belgium,1105768.2467949889
79110,2017,2,2,Belgium,1105768.2467949889
79111,2017,3,2,Belgium,873547.4003200019
79112,2016,4,1,Columbia,3554767.9612499657
79113,2016,5,1,Columbia,3302850.0449999725
79114,2016,6,1,Columbia,3646152.885000037
79115,2016,7,1,Columbia,2958748.3600000683
79116,2016,8,1,Columbia,2958748.3600000683
79117,2016,9,1,Columbia,3554767.9612499657
79118,2016,10,1,Columbia,3270469.240000053
79119,2016,11,1,Columbia,3554767.9612499657
79120,2016,12,1,Columbia,3554767.9612499657
79121,2017,1,1,Columbia,2958748.3600000683
79122,2017,2,1,Columbia,2958748.3600000683
79123,2017,3,1,Columbia,3897925.5231800317
79124,2016,4,2,Columbia,6710446.159999894
79125,2016,5,2,Columbia,7405322.399999894
79126,2016,6,2,Columbia,7393713.2799999565
79127,2016,7,2,Columbia,7393713.2799999565
79128,2016,8,2,Columbia,6705893.839999899
79129,2016,9,2,Columbia,7393713.2799999565
79130,2016,10,2,Columbia,7393713.2799999565
79131,2016,11,2,Columbia,7393713.2799999565
79132,2016,12,2,Columbia,7248370.740000012
79133,2017,1,2,Columbia,7407074.719999903
79134,2017,2,2,Columbia,6969600.000000059
79135,2017,3,2,Columbia,7407074.719999903
79136,2017,1,3,Columbia,4401975.243333277
79137,2017,2,3,Columbia,4088060.1355555174
79138,2017,3,3,Columbia,4230189.085999948
79139,2016,4,2,Denmark,170660459.1099982
79140,2016,5,2,Denmark,197356600.73855665
79141,2016,6,2,Denmark,190104748.79000154
79142,2016,7,2,Denmark,170660459.1099982
79143,2016,8,2,Denmark,190104748.79000154
79144,2016,9,2,Denmark,190104748.79000154
79145,2016,10,2,Denmark,190104748.79000154
79146,2016,11,2,Denmark,190104748.79000154
79147,2016,12,2,Denmark,168188936.3935586
79148,2017,1,2,Denmark,176268459.0399984
79149,2017,2,2,Denmark,135681266.2464908
79150,2017,3,2,Denmark,170660459.1099982
79151,2015,11,5,England,624052.7924599983
79152,2015,12,5,England,703822.4217599981
79153,2016,1,5,England,513122.5999999949
79154,2016,2,5,England,471542.2324999987
79155,2016,3,5,England,700804.3400000057
79156,2016,4,5,England,644014.4799999883
79157,2016,5,5,England,625707.1313599958
79158,2016,6,5,England,749067.1867999895
79159,2016,7,5,England,555335.8560000011
79160,2015,11,4,England,206311.97065740437
79161,2015,12,4,England,200146.1904099996
79162,2016,1,4,England,207079.67267175345
79163,2016,2,4,England,207079.67267175345
79164,2016,3,4,England,206311.97065740437
79165,2016,4,4,England,206311.97065740437
79166,2016,5,4,England,206311.97065740437
79167,2016,6,4,England,206311.97065740437
79168,2016,7,4,England,206311.97065740437
79169,2015,11,4,Finland,28791455.075000692
79170,2015,12,4,Finland,31931776.30000019
79171,2016,1,4,Finland,24827211.16435971
79172,2016,2,4,Finland,18442555.39007997
79173,2016,3,4,Finland,31168014.419999663
79174,2016,4,4,Finland,30595649.003604714
79175,2016,5,4,Finland,18913141.59551998
79176,2016,6,4,Finland,27336329.27999971
79177,2016,7,4,Finland,18450992.194559954
